nome;indice;latitude;longitude;raio
Polygon 277;1279;-21,869335;-51,856013;50
Polygon 277;1279;-21,869736;-51,853098;50
Polygon 277;1279;-21,860237;-51,834439;50
Polygon 080;1821;-20,759657;-51,724989;50
Polygon 080;1821;-20,760558;-51,723428;50
Polygon 080;1821;-20,769106;-51,728907;50
Polygon 080;1821;-20,768656;-51,728517;50
Polygon 081;1822;-20,175899;-50,989924;50
Polygon 081;1822;-20,175899;-50,989144;50
Polygon 318;1639;-23,567559;-47,204721;50
Polygon 318;1639;-23,571033;-47,204243;50
Polygon 318;1639;-23,569828;-47,208504;50
Polygon 318;1639;-23,569828;-47,207724;50
Polygon 318;1639;-23,569378;-47,208114;50
Polygon 318;1639;-23,568927;-47,207724;50
Polygon 318;1639;-23,547266;-47,202507;50
Polygon 318;1639;-23,546815;-47,202117;50
Polygon 082;1823;-21,151713;-51,114954;50
Polygon 003;1827;-22,564719;-47,434012;50
Polygon 006;1830;-22,750353;-47,425537;50
Polygon 318;1639;-23,574682;-47,196202;50
Polygon 318;1639;-23,567559;-47,205501;50
Polygon 081;1822;-20,175241;-50,995991;50
Polygon 670;670;-18,989604;-48,313072;50
Polygon 674;674;-17,722450;-48,592333;50
Polygon 080;1821;-20,796238;-51,670003;50
Polygon 080;1821;-20,803284;-51,661929;50
Polygon 080;1821;-20,815496;-51,700958;50
Polygon 080;1821;-20,819255;-51,719084;50
Polygon 080;1821;-20,766004;-51,731373;50
Polygon 080;1821;-20,766004;-51,730593;50
Polygon 018;1842;-22,018508;-47,441546;50
Polygon 019;1843;-21,935658;-47,349474;50
Polygon 019;1843;-21,935208;-47,349084;50
Polygon 020;1844;-22,698527;-47,354237;50
Polygon 020;1844;-22,698527;-47,353456;50
Polygon 011;1835;-22,720394;-47,247194;50
Polygon 014;1838;-22,186314;-47,345992;50
Polygon 014;1838;-22,187910;-47,346973;50
Polygon 015;1839;-22,563515;-47,434124;50
Polygon 016;1840;-21,968656;-46,748672;50
Polygon 016;1840;-21,968206;-46,748282;50
