nome,indice,latitude,longitude,raio
Polygon 419,1740,-23.72113891919099,-46.428349870535286,1000
Polygon 984,984,-16.96934387619099,-49.77555081603527,1000
Polygon 331,2169,-22.480924988590992,-48.99689180433527,1000
Polygon 419,1740,-23.694111892163964,-46.37373565588222,1000
Polygon 419,1740,-23.685102883154954,-46.38153768654694,1000
Polygon 419,1740,-23.694111892163964,-46.38933971721167,1000
Polygon 419,1740,-23.703120901172973,-46.38153768654694,1000
Polygon 419,1740,-23.712129910181982,-46.38933971721167,1000
Polygon 419,1740,-23.685102883154954,-46.39714174787639,1000
Polygon 419,1740,-23.703120901172973,-46.39714174787639,1000
Polygon 419,1740,-23.712129910181982,-46.40494377854112,1000
Polygon 419,1740,-23.72113891919099,-46.39714174787639,1000
Polygon 419,1740,-23.703120901172973,-46.41274580920584,1000
Polygon 419,1740,-23.712129910181982,-46.420547839870565,1000
Polygon 419,1740,-23.72113891919099,-46.41274580920584,1000
Polygon 330,2168,-22.366703090972972,-48.378025563112345,1000
Polygon 384,1705,-23.111331983331983,-45.70072578494111,1000
Polygon 384,1705,-23.102322974322973,-45.708527815605834,1000
Polygon 384,1705,-23.111331983331983,-45.71632984627056,1000
Polygon 384,1705,-23.120340992340992,-45.708527815605834,1000
Polygon 982,982,-18.965365104490992,-48.33094273603528,1000
Polygon 001,1742,-20.64088016679099,-51.51073396863527,1000
Polygon 378,1699,-23.64328985669099,-47.09323456743528,1000
Polygon 964,964,-16.75204632349099,-49.19503485290583,1000
Polygon 964,964,-16.75204632349099,-49.210638914235275,1000
Polygon 964,964,-16.74303731448198,-49.18723282224111,1000
Polygon 964,964,-16.73402830547297,-49.19503485290583,1000
Polygon 964,964,-16.74303731448198,-49.202836883570555,1000
Polygon 917,917,-17.80433683419099,-48.766174653835286,1000
Polygon 893,893,-18.75906096719099,-50.94508181733527,1000
Polygon 375,1696,-23.529102945945944,-47.43640775468221,1000
Polygon 375,1696,-23.538111954954953,-47.42860572401748,1000
Polygon 375,1696,-23.547120963963962,-47.43640775468221,1000
Polygon 375,1696,-23.538111954954953,-47.44420978534693,1000
Polygon 375,1696,-23.56513898198198,-47.452011816011655,1000
Polygon 375,1696,-23.538111954954953,-47.459813846676376,1000
Polygon 375,1696,-23.556129972972972,-47.459813846676376,1000
Polygon 375,1696,-23.547120963963962,-47.48321993867055,1000
Polygon 330,2168,-22.375712099981982,-48.38582759377707,1000
Polygon 330,2168,-22.38472110899099,-48.378025563112345,1000
Polygon 330,2168,-22.366703090972972,-48.39362962444179,1000
Polygon 330,2168,-22.38472110899099,-48.39362962444179,1000
Polygon 375,1696,-23.538111954954953,-47.49102196933527,1000
Polygon 374,1695,-23.41775046889099,-47.14138696293527,1000
Polygon 022,1763,-20.98979151119099,-51.28098689583527,1000
Polygon 372,1693,-23.55233569658198,-47.08551389557055,1000
Polygon 372,1693,-23.56134470559099,-47.07771186490582,1000
